OID_,OBJECTID,station_na,fuel_type_,status_cod,street_add,city,st_prv_cod,zip,station_ph,access_day,groups_wit,cards_acce,longitude,latitude
139,17665,Greenlots - 112475U,ELEC,AVBL,5701 Outlets at Tejon Parkway,Arvin,CA,93203,855-900-7584,24 hours daily,Public, ,-118.942081000000002,34.985515999999997
140,17771,Chevron #200913,ELEC,AVBL,23022 Aliso Creek Rd,Aliso Viejo,CA,92656,877-455-3833,24 hours daily,Public - Card key at all times, ,-117.728471999999996,33.593144000000002
141,17783,Target T2115 N. Freeway,ELEC,AVBL,3601 N. Freeway Blvd.,Sacramento,CA,95834,833-632-2778,24 hours daily,Public, ,-121.499202999999994,38.639949999999999
142,17848,IRVINE COMPANY,ELEC,AVBL,8505 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.745223999999993,33.645563000000003
143,18291,Sacramento International Airport,ELEC,AVBL,6900 Airport Blvd.,Sacramento,CA,95837,833-632-2778,24 hours daily,Public, ,-121.589247999999998,38.677894000000002
144,18313,Sacramento International Airport - Terminal B Garage,ELEC,AVBL,Lindbergh Dr,Sacramento,CA,95837,916-874-0670,24 hours daily; pay lot,Public, ,-121.593429455000006,38.688737911399997
145,18511,"Walmart 1630 - Yreka, CA",ELEC,AVBL,1906 Fort Jones Road,Yreka,CA,96097,833-632-2778,24 hours daily,Public, ,-122.645122999999998,41.699378000000003
146,18519,Delta Shores - Starbucks,ELEC,AVBL,8152 Delta Shores Cir S,Sacramento,CA,95832,888-264-2208,6am-12am daily,Public, ,-121.492388000000005,38.463949999999997
147,18520,Delta Shores - In & Out Burger,ELEC,AVBL,8200 Delta Shores Cir S,Sacramento,CA,95832,888-264-2208,6am-12am daily,Public, ,-121.492155999999994,38.462302999999999
148,20008,400 Main,ELEC,AVBL,400 East Main Street,Stockton,CA,95202,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-121.284988499999997,37.952846399999999
149,20239,Cinema Level 2SW,ELEC,AVBL,26950 Theater Drive,Santa Clarita,CA,91355,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-118.560180000000003,34.418300000000002
150,20295,"Endologix, Inc.",ELEC,AVBL,2 Musick,Irvine,CA,92618,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.704774000000000,33.660286100000000
151,20298,Spectrum Business Center,ELEC,AVBL,6 Venture,Irvine,CA,92618,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.753224700000004,33.658939599999997
152,20300,Kaiser Irvine Medical Center |P520,ELEC,AVBL,6640 Alton Parkway,Irvine,CA,92618,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.774462799999995,33.658451900000003
153,20314,Lomas Santa Fe Plaza,ELEC,AVBL,975 Lomas Santa Fe Drive,Solana Beach,CA,92075,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.253175111999994,32.994029859900003
154,20315,Solana Beach Towne Centre,ELEC,AVBL,685 San Rodolfo Drive,Solana Beach,CA,92075,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.257803069000005,32.994335061000001
155,20316,SBCC,ELEC,AVBL,420 Stevens Avenue,Solana Beach,CA,92075,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.261121099999997,32.991540899999997
156,20318,Cathedral Catholic High School,ELEC,AVBL,5555 Del Mar Heights Road,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.201469000000003,32.959656000000003
157,20322,Paseo Del Mar 3,ELEC,AVBL,12275 El Camino Real,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.239219500000004,32.941177400000001
158,20323,Paseo Del Mar 2,ELEC,AVBL,12265 El Camino Real,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.239043100000004,32.940229199999997
159,20324,Paseo Del Mar 1,ELEC,AVBL,12255 El Camino Real,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.239917800000001,32.939426800000000
160,20325,Del Mar Gateway,ELEC,AVBL,11978 El Camino Real,San Diego,CA,92130,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.238693900000001,32.936451699999999
161,20326,Torrey Reserve North B,ELEC,AVBL,11720 El Camino Real,San Diego,CA,92130,800-663-5633,MO: 06:00am-09:00pm; TU: 06:00am-09:00pm; WE: 06:00am-09:00pm; TH: 06:00am-09:00pm; FR: 06:00am-09:00pm; SA: 09:00am-01:00pm; SU: Closed,Public, ,-117.237894800000007,32.930115200000003
162,20327,Torrey Reserve North A,ELEC,AVBL,11710 El Camino Real,San Diego,CA,92130,800-663-5633,MO: 06:00am-09:00pm; TU: 06:00am-09:00pm; WE: 06:00am-09:00pm; TH: 06:00am-09:00pm; FR: 06:00am-09:00pm; SA: 09:00am-01:00pm; SU: Closed,Public, ,-117.238278100000002,32.929369600000001
163,20328,Torrey Reserve A,ELEC,AVBL,11582 El Camino Real,San Diego,CA,92130,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.236854234999996,32.927196015800000
164,20329,Torrey Reserve B,ELEC,AVBL,11455 El Camino Real,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.236938899999998,32.927060400000002
165,20330,Gateway at Torrey Hills,ELEC,AVBL,3588 Carmel Mountain Road,San Diego,CA,92130,800-663-5633,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,Public, ,-117.232979799999995,32.919825500000002
166,20331,Torrey Point,ELEC,AVBL,3420 Carmel Mountain Road,San Diego,CA,92121,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.238034346999996,32.919753911299999
167,20332,"CSHV Torrey Reserve West, LLC",ELEC,AVBL,3396 Carmel Mountain Road,San Diego,CA,92121,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.236453699999998,32.917845200000002
168,20333,Parking Structure,ELEC,AVBL,11480 North Torrey Pines Road,La Jolla,CA,92037,800-663-5633,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,Public, ,-117.244631499999997,32.904119700000003
169,20634,"Shop N' Save - Williams, CA",ELEC,AVBL,421 7th St,Williams,CA,95987,877-455-3833,24 hours daily,Public, ,-122.150232000000003,39.155571000000002
170,20702,One Paseo - Tesla Supercharger,ELEC,AVBL,3275 Del Mar Heights Road,San Diego,CA,92014,877-798-3752,24 hours daily; for Tesla use only,Public, ,-117.235399999999998,32.952900000000000
171,20753,County Fair Fashion Mall,ELEC,AVBL,1264 E Gibson Rd Ste E500,Woodland,CA,95776,877-455-3833,24 hours daily,Public, ,-121.763541000000004,38.662340000000000
172,20830,Greenlots - 12598,ELEC,AVBL,13640 Foothill Blvd,Sylmar,CA,91342,855-900-7584,24 hours daily,Public, ,-118.431076050000001,34.307910919199998
173,21110,Belle Mill Landing - Tesla Supercharger,ELEC,AVBL,82 Belle Mill Road,Red Bluff,CA,96080,877-798-3752,24 hours daily; for Tesla use only,Public, ,-122.227500000000006,40.182200000000002
174,21166,"Walmart 2527 - San Clemente, CA",ELEC,AVBL,951 Avenida Pico,San Clemente,CA,92673,833-632-2778,24 hours daily,Public, ,-117.606652999999994,33.454825000000000
175,21340,Park Tower - Tesla Destination,ELEC,AVBL,980 9th St,Sacramento,CA,95814,  877-798-3752,24 hours daily; pay lot,Public, ,-121.495001999999999,38.581214000000003
176,21461,UCSD - Athena Garage - Tesla Destination,ELEC,AVBL,9415 Campus Point Dr,La Jolla,CA,92093,858-534-4223  877-798-3752,24 hours daily,Public, ,-117.223341000000005,32.880287000000003
177,21504,"Safeway 0273 - Anderson, CA",ELEC,AVBL,2601 Balls Ferry Road,Anderson,CA,96007,833-632-2778,24 hours daily,Public, ,-122.289270999999999,40.453456000000003
178,21520,Granzella's Gourmet and Gifts - Tesla Supercharger,ELEC,AVBL,464 6th Street,Williams,CA,95987,877-798-3752,24 hours daily; for Tesla use only,Public, ,-122.149299999999997,39.155600000000000
179,21536,Plaza Paseo Real,ELEC,AVBL,6941- 6985 El Camino Real,Carlsbad,CA,92009,888-264-2208,6am-12am daily,Public, ,-117.268415000000005,33.104661000000000
180,21537,Poinsettia Village,ELEC,AVBL,7130 Avenida Encinas,Carlsbad,CA,92011,888-264-2208,6am-12am daily,Public, ,-117.311200999999997,33.101208000000000
181,21565,Del Mar Highlands Town Center,ELEC,AVBL,12861 El Camino Real,San Diego,CA,92130,888-264-2208,6am-12am daily,Public, ,-117.232543000000007,32.951180999999998
182,21581,Valencia Crossroads,ELEC,AVBL,24130 Valencia Blvd,Santa Clarita,CA,91355,888-264-2208,6am-12am daily,Public, ,-118.556224099999994,34.412158599999998
183,21850,"Walmart 2053 - Willows, CA",ELEC,AVBL,470 Airport Road,Willows,CA,95988,833-632-2778,24 hours daily,Public, ,-122.218592999999998,39.525492000000000
184,21856,LADWP - Truman,ELEC,AVBL,1765 Truman St,San Fernando,CA,91340, ,24 hours daily,Public, ,-118.448935000000006,34.291096000000003
185,21857,LADWP - Chatsworth,ELEC,AVBL,15350 Chatsworth St,Mission Hills,CA,91345, ,24 hours daily,Public, ,-118.466123999999994,34.264344999999999
186,22172,The Shops at La Jolla Village - Whole Foods,ELEC,AVBL,8825 Villa La Jolla Dr,La Jolla,CA,92037,888-264-2208,6am-12pm daily,Public, ,-117.230991000000003,32.868631000000001
187,22173,The Shops at La Jolla Village - Entrance,ELEC,AVBL,8825 Villa La Jolla Dr,La Jolla,CA,92037,888-264-2208,6am-12pm daily,Public, ,-117.231503000000004,32.868479000000001
188,22292,15596 W Roxford St,ELEC,AVBL,15596 W Roxford St,Los Angeles,CA,91342,888-356-8911,24 hours daily,Public, ,-118.471137700000000,34.311619139999998
189,22418,Black Bear - Willows A1,ELEC,AVBL,246 N Humboldt Ave,Willows,CA,95988,877-455-3833,24 hours daily,Public, ,-122.211805499999997,39.523224999999996
190,22449,11320 Laurel Canyon Blvd,ELEC,AVBL,11320 Laurel Canyon Blvd,Los Angeles,CA,91340,888-356-8911,24 hours daily,Public, ,-118.449813300000002,34.275546810000002
191,22453,IRVINE  CO  OFC,ELEC,AVBL,6 Cromwell,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.706164000000001,33.653119099999998
192,22489,14901 Rinaldi street,ELEC,AVBL,14901 Rinaldi Street,Los Angeles,CA,91345,888-356-8911,24 hours daily,Public, ,-118.458005900000003,34.279094420000000
193,22588,Redding School of the Arts,ELEC,AVBL,955 Inspiration Way,Redding,CA,96003,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-122.323081000000002,40.595497000000002
194,22647,CUEV,ELEC,AVBL,14725 Alton Pkwy,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.717433999999997,33.651187000000000
195,22687,DC CORRIDOR,ELEC,AVBL,20725 Lakeshore Dr,Lakehead-Lakeshore,CA,96051,888-758-4389,24 hours daily,Public, ,-122.384741000000005,40.886305000000000
196,22790,"Walmart 3352 - Stockton, CA",ELEC,AVBL,10355 Trinity Parkway,Stockton,CA,95219,833-632-2778,24 hours daily,Public, ,-121.376698000000005,38.050441999999997
197,22807,"Walmart 5162 - Santa Clarita, CA",ELEC,AVBL,27931 KELLY JOHNSON PKWY.,Santa Clarita,CA,91355,833-632-2778,24 hours daily,Public, ,-118.577145000000002,34.444147000000001
198,22988,IRVINE  CO  OFC,ELEC,AVBL,7555 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.751478000000006,33.660981000000000
199,23119,IRVINE  CO  OFC,ELEC,AVBL,15460 Laguna Canyon Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.759660999999994,33.667335000000001
200,23320,The Shops at Missions Viejo - Tesla Supercharger,ELEC,AVBL,555 The Shops at Mission Viejo,Mission Viejo,CA,92691,877-798-3752,24 hours daily; for Tesla use only,Public, ,-117.668000000000006,33.557287000000002
201,23341,Berry Patch Restaurant,ELEC,AVBL,900 Newville Rd,Orland,CA,95963,877-455-3833,24 hours daily,Public, ,-122.202650700000007,39.750079300000003
202,23417,Pierce Joint Unified School District,ELEC,AVBL,950 Wild Wood Rd,Arbuckle,CA,95912,866-816-7584,24 hours daily; Also accepts Paypal,Public,A D M V,-122.055383800000001,39.008776599999997
203,23475,Ace Parking - 900 13th St Garage,ELEC,AVBL,900 13th St,Sacramento,CA,95814,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-121.489101000000005,38.580106000000001
204,23488,Shops at Mission Viejo,ELEC,AVBL,555 Shops Blvd.,Mission Viejo,CA,92691,833-632-2778,24 hours daily,Public, ,-117.668004999999994,33.557264000000004
205,23532,Embassy Suites - Sacramento,ELEC,AVBL,100 Capitol Mall,Sacramento,CA,95814,916-326-5000 x5113,24 hours daily; for guest use only,Public, ,-121.506825000000006,38.579593000000003
206,23618,PRP OCEANSIDE,ELEC,AVBL,1928 S Moreno Street,Oceanside,CA,92054,888-758-4389,24 hours daily,Public, ,-117.352953999999997,33.177267999999998
207,23619,PRP OCEANSIDE,ELEC,AVBL,1330 Vista Way,Oceanside,CA,92054,888-758-4389,24 hours daily,Public, ,-117.352491999999998,33.176586999999998
208,23883,Santa Fe Christian Schools,ELEC,AVBL,838 Academy Drive,Solana Beach,CA,92075,888-998-2546,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Public, ,-117.257254000000003,32.991498000000000
209,24073,DC CORRIDOR,ELEC,AVBL,20672 Tracy Ave #102,Buttonwillow,CA,93206,888-758-4389,24 hours daily,Public, ,-119.398230999999996,35.400860000000002
210,24151,CC STATION 1,ELEC,AVBL,23081 Via Campo Verde,Laguna Woods,CA,92637,888-758-4389,24 hours daily,Public, ,-117.727209000000002,33.606566999999998
211,24198,LUX ART INST.,ELEC,AVBL,1578 El Camino Real,Encinitas,CA,92024,888-758-4389,24 hours daily,Public, ,-117.255973600000004,33.027351600000003
212,24476,CSG EV,ELEC,AVBL,101 W Avenida Vista Hermosa,San Clemente,CA,92672,888-758-4389,24 hours daily,Public, ,-117.628764000000004,33.438288000000000
213,24477,TCC,ELEC,AVBL,777 12th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.489384999999999,38.582011000000001
214,24492,RMV,ELEC,AVBL,30492 Gateway Pl,Mission Viejo,CA,92694,888-758-4389,24 hours daily,Public, ,-117.616579999999999,33.522120399999999
215,24503,IRVINE  CO  OFC,ELEC,AVBL,4 Cromwell,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.706750999999997,33.652107999999998
216,24525,SANTA CLARITA,ELEC,AVBL,26441 Bouquet Canyon Rd,Santa Clarita,CA,91350,888-758-4389,24 hours daily,Public, ,-118.536369699999995,34.426485499999998
217,24528,LENNAR,ELEC,AVBL,3701 Haymar Dr,Carlsbad,CA,92010,888-758-4389,24 hours daily,Public, ,-117.302599000000001,33.178367999999999
218,24531,IRVINE  CO  OFC,ELEC,AVBL,4350 La Jolla Village Dr,San Diego,CA,92122,888-758-4389,24 hours daily,Public, ,-117.212605300000007,32.874438800000000
219,24536,UCSD,ELEC,AVBL,3683 Voigt Dr,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.222594999999998,32.881687999999997
220,24538,PRMNDE I II III,ELEC,AVBL,4460 Molino,Irvine,CA,92603,888-758-4389,24 hours daily,Public, ,-117.743829899999994,33.640816299999997
221,24568,UCSD,ELEC,AVBL,Osler Parking Structure Osler Lane,San Diego,CA,92092,888-758-4389,24 hours daily,Public, ,-117.237719499999997,32.873736500000000
222,24596,DC CORRIDOR,ELEC,AVBL,27710 The Old Rd,Valencia,CA,91355,888-758-4389,24 hours daily,Public, ,-118.585466999999994,34.423461000000003
223,24599,IRVINE COMPANY,ELEC,AVBL,71 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.742533899999998,33.652650199999997
224,24612,DC CORRIDOR,ELEC,AVBL,5701 Dennis McCarthy Dr,Lebec,CA,93243,888-758-4389,24 hours daily,Public, ,-118.947148999999996,34.987853999999999
225,24617,SC CITY HALL,ELEC,AVBL,910 Calle Negocio,San Clemente,CA,92673,888-758-4389,24 hours daily,Public, ,-117.607652000000002,33.450857999999997
226,24643,UCSD,ELEC,AVBL,"Athena Circle, Lot P783 Miramar St N.",San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.222382899999999,32.876179999999998
227,24648,CARLSBAD CA,ELEC,AVBL,6435 Ambrosia Ln,Carlsbad,CA,92011,888-758-4389,24 hours daily,Public, ,-117.282229999999998,33.114513000000002
228,24674,CC STATION 1,ELEC,AVBL,24351 El Toro Rd,Laguna Woods,CA,92637,888-758-4389,24 hours daily,Public, ,-117.731016999999994,33.610357999999998
229,24678,IRVINE  CO  OFC,ELEC,AVBL,9975 Toledo Way,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.707521000000000,33.651262000000003
230,24705,BLN,ELEC,AVBL,27665 Forbes Rd,Laguna Niguel,CA,92677,888-758-4389,24 hours daily,Public, ,-117.675897000000006,33.560969000000000
231,24708,UCSD,ELEC,AVBL,9300 Campus Point Dr Medical Center Dr,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.224083300000004,32.879142399999999
232,24712,EAGLES NEST HD,ELEC,AVBL,13900 Harlan Rd,Lathrop,CA,95330,888-758-4389,24 hours daily,Public, ,-121.286683999999994,37.832126500000001
233,24717,DC CORRIDOR,ELEC,AVBL,2385 North St,Anderson,CA,96007,888-758-4389,24 hours daily,Public, ,-122.295829999999995,40.454783999999997
234,24721,DC CORRIDOR,ELEC,AVBL,27923 Sloan Canyon Rd,Castaic,CA,91384,888-758-4389,24 hours daily,Public, ,-118.624906999999993,34.495552000000004
235,24735,QCOM,ELEC,AVBL,4161 Campus Point Ct,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.226402500000006,32.888808500000003
236,24761,IRVINE  CO  OFC,ELEC,AVBL,4780 Eastgate Mall,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.203309000000004,32.880882000000000
237,24778,IRVINE  CO  OFC,ELEC,AVBL,4820 Eastgate Mall,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.206783000000001,32.883439000000003
238,24785,IRVINE  CO  OFC,ELEC,AVBL,165 Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.746060000000000,33.664386000000000
239,24798,DC CORRIDOR,ELEC,AVBL,4040 Rd 89,Dunnigan,CA,95937,888-758-4389,24 hours daily,Public, ,-121.971361999999999,38.881138000000000
240,24817,IRVINE CO APTS,ELEC,AVBL,8808 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.749526099999997,33.657106800000001
241,24819,IRVINE CO APTS,ELEC,AVBL,7725 Gateway,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.750781000000003,33.656520999999998
242,24820,COUNTY EVSE,ELEC,AVBL,800 F St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.493374099999997,38.584641800000000
243,24837,DGS MAIN,ELEC,AVBL,1616 Capitol Ave,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.485802000000007,38.574866399999998
244,24839,E-MAIN ENTRANCE,ELEC,AVBL,15575 Jimmy Durante Blvd,Del Mar,CA,92014,888-758-4389,24 hours daily,Public, ,-117.255882099999994,32.978501799999997
245,24845,IRVINE  CO  OFC,ELEC,AVBL,29B Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.740264999999994,33.652842000000000
246,24847,IRVINE  CO  OFC,ELEC,AVBL,30 Pacifica,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.751017000000004,33.650354999999998
247,24852,CITYOFPATTERSON,ELEC,AVBL,1033 W Las Palmas Ave,Patterson,CA,95363,888-758-4389,24 hours daily,Public, ,-121.142172000000002,37.466907999999997
248,24866,DGS MAIN,ELEC,AVBL,1416 10th St,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.496397000000002,38.575265999999999
249,24883,CIVIC CENTER,ELEC,AVBL,1700 coast boulevard,Del mar,CA,92014,888-758-4389,24 hours daily,Public, ,-117.268231599999993,32.962413800000000
250,24889,4 HOURS FREE,ELEC,AVBL,500 Capitol Mall,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.501407000000000,38.578057999999999
251,24891,IRVINE  CO  OFC,ELEC,AVBL,201 Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.748863999999998,33.666007000000000
252,24898,IRVINE  CO  OFC,ELEC,AVBL,15555 Laguna Canyon Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.761524899999998,33.668087100000001
253,24899,IRVINE  CO  OFC,ELEC,AVBL,15201 Laguna Canyon Rd,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.761116999999999,33.670194000000002
254,24921,UCSD,ELEC,AVBL,10280 N Torrey Pines Rd,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.242148000000000,32.890875000000001
255,24930,IRVINE  CO  OFC,ELEC,AVBL,1 Technology,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.734278000000003,33.647334000000001
256,24933,AUTONATION CHEV,ELEC,AVBL,23649 Valencia Blvd,Santa Clarita,CA,91355,888-758-4389,24 hours daily,Public, ,-118.550368500000005,34.417217600000001
257,24939,IRVINE COMPANY,ELEC,AVBL,950 Spectrum Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.744816000000000,33.648521000000002
258,24940,IRVINE COMPANY,ELEC,AVBL,121 Fortune Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.739077899999998,33.647842599999997
259,24953,GREAT PARK ICE,ELEC,AVBL,888 Ridge Valley,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.745303399999997,33.678298499999997
260,24959,IRVINE  CO  OFC,ELEC,AVBL,505 Technology Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.757097799999997,33.673011400000000
261,24960,IRVINE  CO  OFC,ELEC,AVBL,93232 Walnut Trail,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.757116800000006,33.672987499999998
262,24962,ONE PASEO,ELEC,AVBL,3703 Caminito Court,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.235354900000004,32.952241999999998
263,24966,DC CORRIDOR,ELEC,AVBL,10424 Trinity Pkwy,Stockton,CA,95219,888-758-4389,24 hours daily,Public, ,-121.374994999999998,38.051876000000000
264,24972,PFENEX INC.,ELEC,AVBL,10790 Roselle St,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.223757000000006,32.898107000000003
265,24975,621 CAPITOL MAL,ELEC,AVBL,621 Capitol Mall,Sacramento,CA,95814,888-758-4389,24 hours daily,Public, ,-121.499077000000000,38.578755999999998
266,24979,ONE PASEO,ELEC,AVBL,3387 Del Mar Heights Rd,San Diego,CA,92130,888-758-4389,24 hours daily,Public, ,-117.234305000000006,32.953422000000003
267,24986,IRVINE  CO  OFC,ELEC,AVBL,6501 Irvine Center Dr,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.765236000000002,33.670461000000003
268,24992,DC CORRIDOR,ELEC,AVBL,25032 W Dorris Ave,Coalinga,CA,93210,888-758-4389,24 hours daily,Public, ,-120.249229000000000,36.254790000000000
269,25058,IRVINE  CO  OFC,ELEC,AVBL,15615 Alton Pkwy,Irvine,CA,92618,888-758-4389,24 hours daily,Public, ,-117.753074999999995,33.655602000000002
270,25066,DC CORRIDOR,ELEC,AVBL,203 Antelope Blvd.,Red Bluff,CA,96080,888-758-4389,24 hours daily,Public, ,-122.220237999999995,40.181629000000001
271,25072,UCSD,ELEC,AVBL,3100 Gilman Dr,San Diego,CA,92093,888-758-4389,24 hours daily,Public, ,-117.233312999999995,32.877153999999997
272,25073,UCSD,ELEC,AVBL,3100 gilman dr,La jolla,CA,92093,888-758-4389,24 hours daily,Public, ,-117.233978699999994,32.877904500000000
273,25075,DC CORRIDOR,ELEC,AVBL,4917 Dunsmuir Ave,Dunsmuir,CA,96025,888-758-4389,24 hours daily,Public, ,-122.276465000000002,41.222907999999997
274,25077,DC CORRIDOR,ELEC,AVBL,111 Morgan Way,Mount Shasta,CA,96067,888-758-4389,24 hours daily,Public, ,-122.316687999999999,41.307482999999998
275,25078,UCSD,ELEC,AVBL,2 Scholars Dr S,San Diego,CA,92037,888-758-4389,24 hours daily,Public, ,-117.242857900000004,32.873406699999997
276,25079,DC CORRIDOR,ELEC,AVBL,12754 CA-33,Gustine,CA,95322,888-758-4389,24 hours daily,Public, ,-121.015259000000000,37.104464000000000
277,25085,QCOM,ELEC,AVBL,6455P Lusk Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.202723000000006,32.903291000000003
278,25088,QCOM,ELEC,AVBL,5741 Wireless Way,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.197100000000006,32.903720999999997
279,25089,QCOM,ELEC,AVBL,5745 Pacific Center Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.197070100000005,32.903544799999999
280,25090,QCOM,ELEC,AVBL,5865 Pacific Center Blvd,San Diego,CA,92121,888-758-4389,24 hours daily,Public, ,-117.192532000000000,32.903692999999997
